,title,link
7,2024 한국도박문제예방치유원 블로그 기자단 도란도란 2기 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4483&pager.offset=56&pagerLimit=8
0,2024 상상대로 여성풋살교실 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4482&pager.offset=64&pagerLimit=8
1,보건복지부・경기사회서비스원 사회서비스 공급주체 다변화 공모선정 사업 <마인드 포레스트 5기> 참여 청년 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4481&pager.offset=64&pagerLimit=8
2,2024년 상반기 취창업 지원 프로그램 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4480&pager.offset=64&pagerLimit=8
3,[한국수자원공사] 2030청년자문단 모집 (~4.24) ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4479&pager.offset=64&pagerLimit=8
4,[평택대학교 산학협력단] 2024 평택시 경기청년 사다리 (~4.24) ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4478&pager.offset=64&pagerLimit=8
5,[육각형청년 프로젝트] Part 2. 나는 옷을 사지 않기로 결심했다 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4477&pager.offset=64&pagerLimit=8
6,2024 이루잡 청년열린학교 <4월 프로그램 안내> ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4476&pager.offset=64&pagerLimit=8
7,2024 [오산 청년 마음돌보기] 나를 찾아가는 여행 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4475&pager.offset=64&pagerLimit=8
0,「챗GPT를 활용한 취업전략 」 특강 안내 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4474&pager.offset=72&pagerLimit=8
1,「첫 만남 프로젝트 <레진아트로 스마트톡 만들기>」 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4473&pager.offset=72&pagerLimit=8
2,2024 청년다다름사업 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4472&pager.offset=72&pagerLimit=8
3,<청년 마음 상담 2기> 참여자 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4471&pager.offset=72&pagerLimit=8
4,경기상상캠퍼스 생활문화동호회 <동행> 신청 안내 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4470&pager.offset=72&pagerLimit=8
5,경기상상캠퍼스 서포터즈 '상상그리너' 3기 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4469&pager.offset=72&pagerLimit=8
6,2024 경기상상캠퍼스 축제 자원봉사자 모집 안내 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4468&pager.offset=72&pagerLimit=8
7,2024년 「세대융합형 베이비부머 창업 서포터즈」  청년 (예비)창업자 모집 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4467&pager.offset=72&pagerLimit=8
0,2024년 상반기 KOICA 해외봉사단 정기설명회 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4466&pager.offset=80&pagerLimit=8
1,부천시 고리울청소년센터 청개구리 문화놀이터 플러스 청년기획단 모집  ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4465&pager.offset=80&pagerLimit=8
2,2024 K-웰니스 인플루언서 콘테스트 안내 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4464&pager.offset=80&pagerLimit=8
3,[경기청년공간 내일스퀘어 양평] GTQid 인디자인 1급 자격증반 (2024. 04. 30. ~ 05. 24.) ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4463&pager.offset=80&pagerLimit=8
4,방과후 아동지도사 1급 과정 수강생 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4462&pager.offset=80&pagerLimit=8
5,[공유물품] 고프로 ·미니빔 대여 (2024. 4. ~ 10.) ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4461&pager.offset=80&pagerLimit=8
6,[찾아가는 청년지원센터]광주시청소년수련관 - 모루인형 원데이클래스 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4460&pager.offset=80&pagerLimit=8
7,[찾아가는 청년지원센터]퇴촌청소년문화의집 - 청년 부모 특강(감정 오일 테라피) ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4459&pager.offset=80&pagerLimit=8
0,벌룬 플라워 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4458&pager.offset=88&pagerLimit=8
1,5월 힐링 테라리움 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4457&pager.offset=88&pagerLimit=8
2,프리저브드 플라워 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4456&pager.offset=88&pagerLimit=8
3,폐업위기를 취업기회로! <리턴패키지> ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4455&pager.offset=88&pagerLimit=8
4,코딩없이 App 만들기 <노코드 부트캠프> ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4454&pager.offset=88&pagerLimit=8
5,사례로 배우는 환경창업 <그린메이커스> ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4453&pager.offset=88&pagerLimit=8
6,[공유물품] 용인 청년 LAB 수지 공유물품 업데이트 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4452&pager.offset=88&pagerLimit=8
