"시점","행정구역(시군구)별","성별",계,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세 이상,80세,81세,82세,83세,84세,85세 이상,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상
"2023","강원도","남자",767650,3523.5,3836.5,4034.5,4341.5,4489,4746,5274,5716.5,5883,5947,6368,6738.5,6733.5,6586,6498,6953.5,6996.5,6651.5,6926,7236,7651,8369.5,9483,10018,9926.5,9752,9528.5,9556.5,9623,9488,9420,9136.5,8675.5,8204,7955.5,7855.5,7828.5,8172,8337,8879,10024,10575.5,10674,10571.5,10190,10114.5,10394.5,10677,11593.5,12676.5,13134.5,13422.5,13636,13854,14262.5,13728.5,13261,13102.5,12960.5,13134,13997.5,15202,15450,15044,14362.5,14170,13377.5,12388,11610.5,9869.5,9682,8018,5798.5,6087,6308,6548,6129.5,5464.5,5184.5,4962,32671,5079.5,4825.5,4114,3637.5,3249,11765.5,2709.5,2202.5,1784,1316.5,999.5,743.5,533.5,414,319,221.5,149.5,100,78,61.5,56.5,76.5
"2023","강원도","여자",759113,3414.5,3689,3870.5,4118,4328.5,4505.5,4915,5495.5,5659.5,5632.5,6100.5,6382.5,6268.5,6158,6133.5,6406.5,6375.5,6087,6354.5,6521,6743.5,7118.5,7680.5,7526,7121.5,7210,7349,7410.5,7472,7458.5,7687.5,7774.5,7220,6942,7099,7157.5,7126.5,7364,7656,8397.5,9649.5,10226,10377.5,10382,9893,9790,10032.5,10280,11126,11945,12055,12247.5,12625.5,12889.5,13308,13011,12395,12443.5,12676.5,12557.5,13388,15022,15813.5,15437.5,14482,13864,13000.5,12345.5,11694,10069,10184,8817,6743.5,7034,7310,7689,7221,6701,6889,6915,62652.5,7389.5,7398.5,6640,6226,5786.5,29212,5022.5,4337,3875.5,3381.5,2734,2194.5,1760,1460,1223,979.5,731.5,508,334.5,224.5,166.5,279.5
"2023","충청북도","계",1589702,7411.5,7973,8533.5,9044.5,10013,11051.5,12088,13197.5,13489,13542.5,14413.5,14970,14850.5,14424,14234,14984.5,14630.5,13665,14103,14785.5,14989.5,16064.5,17776.5,18182.5,18092,18742,19503,20131,20526.5,20636,20518,19874.5,18637,17603.5,17468,17616.5,17854,18227,18907,20255,22479,23594,23475,23482,22052.5,21570,22436.5,22731.5,24301.5,26163.5,26106,26341.5,27011,28007.5,29079,28090,26630.5,26698,26500,24623.5,26284,30138,30155.5,28194.5,26439,25788,24515.5,22959,21195.5,18311,17987,15761,12576.5,12800,12907.5,12870.5,11444,9821.5,9802,10006.5,85364.5,11259,11054.5,8922,8398,7884.5,37846.5,6918,6199,5516,4643,3646.5,2875,2141.5,1603.5,1290.5,964.5,686,447,303,213,140,260
"2023","충청북도","남자",807811,3800,4079.5,4367,4676.5,5179,5653,6208.5,6756.5,6829,6869.5,7352,7667,7628,7443.5,7397,7806,7545.5,7066.5,7378,7820.5,7963,8610,9654.5,10087,10076,10300.5,10891.5,11409.5,11659,11860,11786,11257.5,10398,9707,9483.5,9422.5,9511,9635.5,9961.5,10620.5,11642,12237.5,12191.5,12161.5,11519,11184,11589.5,11700,12480,13449,13519,13745.5,14020,14381.5,14669.5,14135.5,13740.5,13842.5,13563,12691,13641,15522,15241,14122,13369.5,13089.5,12374.5,11449.5,10439,9012.5,8795,7630,5998,6145.5,6199.5,6034,5240,4391.5,4189.5,4058.5,28590.5,4467,4276.5,3367,3084,2767.5,10628.5,2336,1996.5,1666.5,1326,956.5,712,485,318,257,195,133.5,84,54,41,24,43.5
"2023","충청북도","여자",781891,3611.5,3893.5,4166.5,4368,4834,5398.5,5879.5,6441,6660,6673,7061.5,7303,7222.5,6980.5,6837,7178.5,7085,6598.5,6725,6965,7026.5,7454.5,8122,8095.5,8016,8441.5,8611.5,8721.5,8867.5,8776,8732,8617,8239,7896.5,7984.5,8194,8343,8591.5,8945.5,9634.5,10837,11356.5,11283.5,11320.5,10533.5,10386,10847,11031.5,11821.5,12714.5,12587,12596,12991,13626,14409.5,13954.5,12890,12855.5,12937,11932.5,12643,14616,14914.5,14072.5,13069.5,12698.5,12141,11509.5,10756.5,9298.5,9192,8131,6578.5,6654.5,6708,6836.5,6204,5430,5612.5,5948,56774,6792,6778,5555,5314,5117,27218,4582,4202.5,3849.5,3317,2690,2163,1656.5,1285.5,1033.5,769.5,552.5,363,249,172,116,216.5
"2023","충청남도","계",2119950.5,9708.5,10864.5,11788.5,12857.5,13981.5,15207,16841,18528.5,19151,19162,20336.5,21113,20820.5,20221,20089,20956,20477.5,19065,19236,19713.5,19777.5,20936.5,23017.5,23111,22240.5,22542,23289,23911.5,24386,24690.5,25342.5,25246,24070,23509,23823,24379.5,24990,25580.5,26079.5,28329.5,31994.5,33788.5,33790.5,33151.5,31117.5,30255,31025,31051.5,32820,34973.5,34685,35512.5,36076.5,35636,36468.5,35143.5,32395.5,32243.5,33763.5,32057.5,32893,37119.5,38568,36448,32711,30906.5,29536,28987,27796,23284.5,21965,20708,19125.5,19691,19233.5,18760.5,16283.5,13181.5,13229.5,13807,128397,15825.5,15829,12499,11971.5,11903,60369,10578.5,9520.5,8644,7404.5,5892,4859,3743,2655,2059,1601.5,1153,741.5,475.5,334,250,458
"2023","충청남도","남자",1084955.5,4932.5,5577.5,6100,6617.5,7132,7763.5,8641.5,9523,9818,9772.5,10399.5,10868,10843,10489,10355.5,10856,10681.5,9882,9913,10252,10490.5,11234,12360.5,12776,12523,12654.5,13029.5,13561,14019.5,13999.5,14026,13901,13307.5,12914,12965.5,13112,13325.5,13679.5,13887,15043,17004,17977.5,18033,17517.5,16661,16302.5,16468,16308,17295,18589.5,18570,19190,19427,18978,19194.5,18368,17149.5,17121,17667,16792,17311.5,19322.5,19674,18406.5,16490.5,15677,14947.5,14416,13643.5,11398,10676.5,9998,9157,9392.5,9197,8852.5,7656.5,6098.5,5708.5,5702.5,43389.5,6326,6116,4685,4357,4168.5,17737,3586,3144,2727,2242.5,1722,1316.5,931,635.5,464.5,335,223,150,95,60.5,47,57.5
"2023","충청남도","여자",1034995,4776,5287,5688.5,6240,6849.5,7443.5,8199.5,9005.5,9333,9389.5,9937,10245,9977.5,9732,9733.5,10100,9796,9183,9323,9461.5,9287,9702.5,10657,10335,9717.5,9887.5,10259.5,10350.5,10366.5,10691,11316.5,11345,10762.5,10595,10857.5,11267.5,11664.5,11901,12192.5,13286.5,14990.5,15811,15757.5,15634,14456.5,13952.5,14557,14743.5,15525,16384,16115,16322.5,16649.5,16658,17274,16775.5,15246,15122.5,16096.5,15265.5,15581.5,17797,18894,18041.5,16220.5,15229.5,14588.5,14571,14152.5,11886.5,11288.5,10710,9968.5,10298.5,10036.5,9908,8627,7083,7521,8104.5,85007.5,9499.5,9713,7814,7614.5,7734.5,42632,6992.5,6376.5,5917,5162,4170,3542.5,2812,2019.5,1594.5,1266.5,930,591.5,380.5,273.5,203,400.5
"2023","전라북도","계",1757041,6695,7373.5,7988,8788,9727,10881.5,12189,13649.5,14454,14667.5,15733,16629,16688,16271.5,16209,17202.5,17027,16200,16721.5,17125,17687,18857.5,20656,20478,19778.5,19541,19399,19449,19357,18906.5,18524,18170,17054.5,16209,16088.5,16060,16447,17386.5,18287,19914.5,22314,23708,24192.5,24402,23415.5,23732.5,24703,24854,27301,29542,29634,30612.5,31085,30383,31043,30538,29094,29157,28814.5,27654,28754.5,31176,33267.5,32513.5,28603,27219.5,26338.5,25872,25187.5,21147.5,19732,19194,19023.5,19388,17942,18399,17240.5,13757.5,12567.5,12667.5,120400.5,15583.5,16001.5,12247,11296,10879.5,54393,9559.5,8493,7689,6641,5361,4217,3310,2488.5,1918,1516,1118.5,731,432,257,208,453.5
"2023","전라북도","남자",874075.5,3327.5,3702,4069,4471,4976,5570,6268.5,7019.5,7439.5,7563.5,8122.5,8535.5,8530,8365,8382,8907,8802.5,8446.5,8707.5,8894.5,9407,10104.5,11054.5,11223,10955.5,10754.5,10545,10589,10496,10173.5,9868,9574.5,9017.5,8570.5,8417.5,8272.5,8410,8851,9263,10174.5,11391.5,12072,12335.5,12469,12040.5,12110.5,12635.5,12796,14036.5,15161.5,15348,16081.5,16291,15823.5,16118,15701,15111,15199,14873.5,14257.5,14799.5,15821,16544.5,16104.5,14185,13611,13195.5,12744,12245.5,10253.5,9504,9150,9005.5,8978.5,8175,8444.5,7868,6080,5300.5,5117.5,39274.5,5970.5,5997.5,4480.5,3987.5,3738.5,15100,3148,2648.5,2304.5,1934,1462,1063.5,775,519.5,410,306,206,123.5,70.5,40.5,30.5,58
